representative protein;other proteins in group;description;sequence length;monoisotopic mass;% of protein sequence covered by peptides;peptides count;intensity in 2019-019-04 HYE Mix A 1;intensity in 2019-019-04 HYE Mix A 2;intensity in 2019-019-04 HYE Mix A 3;intensity in 2019-019-05 HYE Mix B 1;intensity in 2019-019-05 HYE Mix B 2;intensity in 2019-019-05 HYE Mix B 3
HNRH2_HUMAN;;Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens OX=9606 GN=HNRNPH2 PE=1 SV=1;449;49232.287;51.89;19;880444;822056;891389;791401;789272;794513
TBB6_HUMAN;;Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1;446;49825.0;51.79;16;921057;930532;831761;783247;872370;840785
RCC2_HUMAN;;Protein RCC2 OS=Homo sapiens OX=9606 GN=RCC2 PE=1 SV=2;522;56049.203;51.72;21;845428;973823;839929;847928;817846;882902
PSA1_HUMAN;;Proteasome subunit alpha type-1 OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1;263;29536.861;51.71;13;650072;619879;644781;631998;646047;669786
C8Z8E2_YEAS8;;Mlc1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_1805g PE=4 SV=1;149;16434.422;51.68;7;196393;190539;168967;65135;57494;64295
HNRPK_HUMAN;;Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1;463;50944.403;51.62;22;4457008;4549778;4249639;4549178;4534358;4529907
DNAK_ECOLI;;Chaperone protein DnaK OS=Escherichia coli (strain K12) OX=83333 GN=dnaK PE=1 SV=2;638;69072.486;51.57;27;1258934;1331255;1328381;4739665;4814316;4717790
TCPE_HUMAN;;T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1;541;59632.808;51.57;21;1433036;1604828;1661301;1608876;1468239;1588772
ROA2_HUMAN;;Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2;353;37406.727;51.56;17;3329545;3351175;3874245;3502212;3838393;3898278
C8Z3V2_YEAS8;;Rpl32p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_0177g PE=4 SV=1;130;14762.233;51.54;8;669408;695980;748923;388294;387207;389956
RL5_HUMAN;;60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3;297;34340.694;51.52;14;1870969;1911838;1945642;1944690;1843718;1611528
H32_HUMAN;;Histone H3.2 OS=Homo sapiens OX=9606 GN=HIST2H3A PE=1 SV=3;136;15378.506;51.47;6;945586;1113452;1072367;971573;933035;990097
H31_HUMAN;;Histone H3.1 OS=Homo sapiens OX=9606 GN=HIST1H3A PE=1 SV=2;136;15394.483;51.47;6;855275;831819;807573;900735;833687;882148
CALU_HUMAN;;Calumenin OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=2;315;37083.543;51.43;11;543603;638194;573036;500596;496361;592792
RAB7A_HUMAN;;Ras-related protein Rab-7a OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1;207;23474.841;51.21;9;465112;520961;557809;553411;535400;546324
FABA_ECOLI;;3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) OX=83333 GN=fabA PE=1 SV=2;172;18956.685;51.16;8;167574;156563;159547;934032;957367;929579
C8Z763_YEAS8;;Hmf1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1E8_1684g PE=4 SV=1;129;13897.091;51.16;3;87790;102221;67716;10708;12531;11227
NTM1A_HUMAN;;N-terminal Xaa-Pro-Lys N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=NTMT1 PE=1 SV=3;223;25370.839;51.12;8;435002;400963;451840;305467;306228;326797
SERC_HUMAN;;Phosphoserine aminotransferase OS=Homo sapiens OX=9606 GN=PSAT1 PE=1 SV=2;370;40396.811;51.08;16;798608;787272;796054;631910;667653;675878
C8Z6M1_YEAS8;;Rps16ap OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_1442g PE=3 SV=1;143;15837.727;51.05;7;471922;543940;479757;251832;228321;245562
LMNB1_HUMAN;;Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2;586;66367.623;51.02;32;2457586;2455512;2469375;2627663;2714531;2553680
MALE_ECOLI;;Maltose/maltodextrin-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=malE PE=1 SV=1;396;43360.38;51.01;15;136048;154929;134369;888869;812333;821988
ATPA_HUMAN;;ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1;553;59713.593;50.99;26;5238327;5233948;5011115;4668749;4909970;4970569
C8Z516_YEAS8;;Bmh2p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_3499g PE=3 SV=1;273;31042.341;50.92;14;519768;494914;487678;279876;313273;299573
TCPZ_HUMAN;;T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3;531;57987.597;50.85;20;1755426;1933369;1888750;1786833;1896863;1804089
QCR1_HUMAN;;Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3;480;52612.43;50.83;16;934786;956914;962860;956014;980091;933511
ROA0_HUMAN;;Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens OX=9606 GN=HNRNPA0 PE=1 SV=1;305;30821.785;50.82;10;744146;795602;722434;744872;829127;797357
C8ZDW1_YEAS8;;Transaldolase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L7_2234g PE=3 SV=1;335;37013.422;50.75;16;1106887;1045389;1055583;583325;611570;609877
CSPE_ECOLI;;Cold shock-like protein CspE OS=Escherichia coli (strain K12) OX=83333 GN=cspE PE=1 SV=2;69;7458.814;50.72;4;132021;114655;138686;533162;505641;552250
EZRI_HUMAN;;Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4;586;69369.738;50.68;31;1891452;2001788;2105187;1857332;1985595;1895703
RS11_HUMAN;;40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3;158;18418.993;50.63;8;1154230;1315906;1175421;1278858;1369341;1361840
SCOT1_HUMAN;;Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=OXCT1 PE=1 SV=1;520;56121.93;50.58;20;1402824;1306839;1367721;1361136;1435996;1436863
C8Z404_YEAS8;;Histone H4 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_1387g PE=3 SV=1;103;11361.42;50.49;6;171260;184266;194984;89846;81125;78459
PPIB_HUMAN;;Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens OX=9606 GN=PPIB PE=1 SV=2;216;23727.536;50.46;12;948668;958655;915378;1037043;977850;970537
RL19_ECOLI;;50S ribosomal protein L19 OS=Escherichia coli (strain K12) OX=83333 GN=rplS PE=1 SV=2;115;13125.191;50.43;5;123141;110236;94482;326372;355544;351295
RL7_HUMAN;;60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1;248;29207.198;50.4;14;1235153;928910;934988;1001464;971799;1057382
CDV3_HUMAN;;Protein CDV3 homolog OS=Homo sapiens OX=9606 GN=CDV3 PE=1 SV=1;258;27318.36;50.39;6;114390;94926;110800;103644;98359;61406
G6PI_HUMAN;;Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4;558;63107.244;50.36;27;3103109;2887828;3047792;2805762;2835092;2926430
CAP1_HUMAN;;Adenylyl cyclase-associated protein 1 OS=Homo sapiens OX=9606 GN=CAP1 PE=1 SV=5;475;51868.693;50.32;22;1593577;1642735;1649739;1639606;1576705;1547649
HS90B_HUMAN;;Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4;724;83212.102;50.28;32;6174602;6741812;6312360;6328197;6052524;6123940
CSRP1_HUMAN;;Cysteine and glycine-rich protein 1 OS=Homo sapiens OX=9606 GN=CSRP1 PE=1 SV=3;193;20553.763;50.26;7;570079;584419;604777;526885;575262;422812
RL4_ECOLI;;50S ribosomal protein L4 OS=Escherichia coli (strain K12) OX=83333 GN=rplD PE=1 SV=1;201;22072.862;50.25;10;602972;430747;466867;1968801;2071817;2065432
PNP_ECOLI;;Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=pnp PE=1 SV=3;711;77052.99;50.21;22;448369;467414;422270;1542794;1582709;1617566
C8ZE49_YEAS8;;40S ribosomal protein S1 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=RPS1 PE=3 SV=1;255;28711.606;50.2;13;526772;474516;547381;225730;197601;204617
MARE1_HUMAN;;Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens OX=9606 GN=MAPRE1 PE=1 SV=3;268;29980.19;50.0;10;569426;587545;624373;578469;397471;644633
APT_HUMAN;;Adenine phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=APRT PE=1 SV=2;180;19595.432;50.0;6;169759;168840;168572;129906;179001;145599
DBHB_ECOLI;;DNA-binding protein HU-beta OS=Escherichia coli (strain K12) OX=83333 GN=hupB PE=1 SV=1;90;9219.995;50.0;4;31862;56308;65999;344958;353169;358102
HPRT_HUMAN;;Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=HPRT1 PE=1 SV=2;218;24563.599;50.0;8;485281;502929;510844;506263;495113;471862
RL15_ECOLI;;50S ribosomal protein L15 OS=Escherichia coli (strain K12) OX=83333 GN=rplO PE=1 SV=1;144;14971.323;50.0;7;261946;257450;253633;778225;826228;775906
G3BP1_HUMAN;;Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1;466;52132.076;50.0;13;1034594;1126752;1081998;1046624;1064761;1107217
TOM34_HUMAN;;Mitochondrial import receptor subunit TOM34 OS=Homo sapiens OX=9606 GN=TOMM34 PE=1 SV=2;309;34537.76;49.84;12;334686;327538;333354;355687;360617;366788
IF2_ECOLI;;Translation initiation factor IF-2 OS=Escherichia coli (strain K12) OX=83333 GN=infB PE=1 SV=1;890;97290.338;49.78;31;888907;686257;768423;2590509;2715491;2790573
SERPH_HUMAN;;Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2;418;46411.177;49.76;17;1289523;1398829;1480309;1417511;1511372;1507869
ARL1_HUMAN;;ADP-ribosylation factor-like protein 1 OS=Homo sapiens OX=9606 GN=ARL1 PE=1 SV=1;181;20404.438;49.72;5;47027;52438;69646;50333;40969;49477
AROG_ECOLI;;Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive OS=Escherichia coli (strain K12) OX=83333 GN=aroG PE=1 SV=1;350;37985.514;49.71;13;84913;95889;101563;536659;556236;545965
ML12A_HUMAN;ML12B_HUMAN ML12A_HUMAN;Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2;171;19781.49;49.71;7;720803;703511;705147;596567;621229;628404
LUXS_ECOLI;;S-ribosylhomocysteine lyase OS=Escherichia coli (strain K12) OX=83333 GN=luxS PE=1 SV=3;171;19403.623;49.71;5;55006;66872;73119;395352;381087;439551
LDHB_HUMAN;;L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2;334;36615.143;49.7;15;2574881;3068553;3023961;3010947;3095361;2921518
C8Z4Y3_YEAS8;;Rps13p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_3103g PE=3 SV=1;151;16990.303;49.67;8;735070;945245;762246;431682;420462;453500
DNJA1_HUMAN;;DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2;397;44839.452;49.62;16;821789;855608;853899;822065;815627;802152
C8ZCB2_YEAS8;;Fba1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1K5_1860g PE=4 SV=1;359;39595.745;49.58;12;3147549;3260641;3430284;1705462;1669537;1699377
LSM7_HUMAN;;U6 snRNA-associated Sm-like protein LSm7 OS=Homo sapiens OX=9606 GN=LSM7 PE=1 SV=1;103;11595.007;49.51;2;37919;35229;40367;32411;33954;34892
NUSA_ECOLI;;Transcription termination/antitermination protein NusA OS=Escherichia coli (strain K12) OX=83333 GN=nusA PE=1 SV=1;495;54837.074;49.49;19;247079;257746;248464;1336945;1261877;1279026
C8ZGD5_YEAS8;;40S ribosomal protein S7 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1N9_2696g PE=3 SV=1;190;21620.965;49.47;10;253138;62203;54942;20889;20771;24188
TLN1_HUMAN;;Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3;2541;269599.049;49.47;80;3480973;3678905;3777699;3564309;3532760;3600913
C8ZDC1_YEAS8;;Stm1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L10_2388g PE=4 SV=1;273;29963.259;49.45;11;1284588;1286683;1225592;617127;604860;622890
C8ZA04_YEAS8;;40S ribosomal protein S4 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1H13_1926g PE=3 SV=1;261;29392.023;49.43;13;1526045;1611480;1568945;763407;789200;799559
OMPA_ECOLI;;Outer membrane protein A OS=Escherichia coli (strain K12) OX=83333 GN=ompA PE=1 SV=1;346;37177.658;49.42;15;1562486;1776646;1651562;2989205;3326953;3000783
PLIN3_HUMAN;;Perilipin-3 OS=Homo sapiens OX=9606 GN=PLIN3 PE=1 SV=3;434;47045.946;49.31;13;428899;415881;412867;394072;320726;376848
EF2_HUMAN;;Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4;858;95276.949;49.3;33;4874892;4905937;4725978;4716290;4904274;4855095
CAZA1_HUMAN;;F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3;286;32902.328;49.3;9;998402;1055682;1000699;852030;995047;866022
PLEC_HUMAN;;Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3;4684;531465.987;49.3;200;11115257;10339426;10250484;10511683;10082976;10047589
C8Z630_YEAS8;;60S ribosomal protein L27 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_7844g PE=3 SV=1;136;15521.646;49.26;7;560184;570849;635530;289848;273213;280976
FKBP4_HUMAN;;Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3;459;51772.071;49.24;17;1896544;1857911;1924546;1979030;1814185;1882412
RHOA_HUMAN;;Transforming protein RhoA OS=Homo sapiens OX=9606 GN=RHOA PE=1 SV=1;193;21754.072;49.22;7;675908;812029;741775;686973;712180;696851
PP1A_HUMAN;;Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CA PE=1 SV=1;330;37487.804;49.09;13;208405;422155;448582;466976;448856;535890
PRDX5_HUMAN;;Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4;214;22072.547;49.07;8;827611;820287;845126;738813;732352;723910
C8Z3Q3_YEAS8;;Cor1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_0749g PE=4 SV=1;457;50226.935;49.02;16;1166572;1172965;1113407;541747;588170;566702
RS13_HUMAN;;40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2;151;17211.667;49.01;9;1376499;1416187;1473416;1375177;1454341;1443810
LSM8_HUMAN;;U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens OX=9606 GN=LSM8 PE=1 SV=3;96;10396.291;48.96;3;122422;120966;129516;136066;125257;121294
D3UEU0_YEAS8;;Glucose-6-phosphate isomerase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_3620g PE=3 SV=1;554;61261.061;48.92;21;1879797;1949871;2029583;1006846;985685;995267
PDIA6_HUMAN;;Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1;440;48091.262;48.86;17;1613899;1572549;1629732;1551775;1613197;1654120
C8ZE55_YEAS8;;60S ribosomal protein L6 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L7_3356g PE=3 SV=1;176;19974.186;48.86;9;303215;294725;275718;74025;109694;73351
UGDH_HUMAN;;UDP-glucose 6-dehydrogenase OS=Homo sapiens OX=9606 GN=UGDH PE=1 SV=1;494;54989.248;48.79;16;437438;437413;443927;417686;328798;326402
HSPB1_HUMAN;;Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2;205;22768.493;48.78;8;1308758;1445968;1231915;1209810;1240693;1531818
KPYK1_ECOLI;;Pyruvate kinase I OS=Escherichia coli (strain K12) OX=83333 GN=pykF PE=1 SV=1;470;50697.257;48.72;19;384196;404544;396852;1694540;1677056;1641624
H15_HUMAN;;Histone H1.5 OS=Homo sapiens OX=9606 GN=HIST1H1B PE=1 SV=3;226;22566.468;48.67;14;2206563;2692290;2681977;2283755;2026578;2276973
ERP29_HUMAN;;Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=4;261;28975.156;48.66;9;569413;564909;641477;614143;636083;619806
K2C8_HUMAN;K2C8_HUMAN_CONTA K2C8_HUMAN;Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7;483;53671.133;48.65;24;3580233;3846645;3714758;3791353;3753452;3713056
C8Z3U3_YEAS8;;ATP synthase subunit alpha OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_0100g PE=3 SV=1;545;58572.338;48.62;22;1619759;1668844;1575076;710429;755989;741012
C8ZGY8_YEAS8;;Rpl33bp OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_4621g PE=3 SV=1;107;12160.582;48.6;6;321618;339532;319367;126173;154510;131154
FKBP2_HUMAN;;Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=2;142;15639.317;48.59;4;192334;151167;136922;190903;136440;131031
ODP2_ECOLI;;Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) OX=83333 GN=aceF PE=1 SV=3;630;66054.789;48.57;20;434886;450092;429365;1658449;1822558;1745473
RS8_HUMAN;;40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2;208;24190.163;48.56;9;1517739;1603762;1591813;1225010;1569936;1518704
SODM_ECOLI;;Superoxide dismutase [Mn] OS=Escherichia coli (strain K12) OX=83333 GN=sodA PE=1 SV=2;206;23082.65;48.54;7;144589;144956;155866;526227;486045;494784
NUOCD_ECOLI;;NADH-quinone oxidoreductase subunit C/D OS=Escherichia coli (strain K12) OX=83333 GN=nuoC PE=1 SV=3;596;68192.543;48.49;21;121043;146282;205672;1009031;949041;961711
CH10_ECOLI;;10 kDa chaperonin OS=Escherichia coli (strain K12) OX=83333 GN=groS PE=1 SV=1;97;10380.583;48.45;3;221712;202535;205614;487100;515650;540225
YBOX3_HUMAN;;Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4;372;40066.026;48.39;11;479602;493753;384524;476063;478721;469304
RL17_HUMAN;;60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;184;21383.333;48.37;9;1503817;1573540;1516489;1537872;1528409;1569662
C8ZBZ5_YEAS8;;Rpl17ap OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1K5_0430g PE=3 SV=1;184;20537.064;48.37;9;951511;967242;910531;589293;685896;632196
C8ZB42_YEAS8;;Rpl17bp OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1J11_0584g PE=3 SV=2;184;20539.043;48.37;9;395175;398652;374442;220794;210715;217596
C8Z8T3_YEAS8;;Acb1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_3422g PE=4 SV=1;87;10055.086;48.28;3;122685;125554;140938;50703;53298;55421
C8ZJF4_YEAS8;;Rps23bp OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1P2_4643g PE=3 SV=1;145;16027.887;48.28;6;645714;655861;673972;307466;347415;264493
MAP4_HUMAN;;Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3;1152;120929.826;48.26;36;1362065;1467182;1523373;1206089;1310416;1210571
C8ZDM2_YEAS8;;Hsp60p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L7_1079g PE=3 SV=1;572;60745.91;48.25;24;1803862;2052140;1754349;1053201;1032098;1020334
RUVB1_HUMAN;;RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1;456;50196.314;48.25;14;1040342;1068260;1013172;970408;938515;927506
COF2_HUMAN;;Cofilin-2 OS=Homo sapiens OX=9606 GN=CFL2 PE=1 SV=1;166;18724.849;48.19;8;197407;180131;186691;127858;157109;172852
G6PD_HUMAN;;Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4;515;59218.993;48.16;23;1302110;1248984;1257917;1273065;1177715;1318110
KAD2_HUMAN;;Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=2;239;26460.772;48.12;12;531253;624849;592298;593109;636662;637029
TBB2A_HUMAN;;Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1;445;49874.957;48.09;19;1441266;1098193;1112520;807587;1009625;975817
GDIR1_HUMAN;;Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3;204;23192.705;48.04;8;844053;813749;832150;883904;844354;813301
RS7_ECOLI;;30S ribosomal protein S7 OS=Escherichia coli (strain K12) OX=83333 GN=rpsG PE=1 SV=3;179;20006.698;48.04;7;199412;190686;187533;644356;705761;687186
RL6_ECOLI;;50S ribosomal protein L6 OS=Escherichia coli (strain K12) OX=83333 GN=rplF PE=1 SV=2;177;18892.162;48.02;8;262147;227861;219285;1006048;742214;1002000
C8Z9X5_YEAS8;;Oye2p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1H13_1585g PE=4 SV=1;400;44997.847;48.0;13;716143;766131;727408;351094;361993;338083
RS18_ECOLI;;30S ribosomal protein S18 OS=Escherichia coli (strain K12) OX=83333 GN=rpsR PE=1 SV=2;75;8980.847;48.0;4;40480;54174;48972;384429;488069;485299
EIF3I_HUMAN;;Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens OX=9606 GN=EIF3I PE=1 SV=1;325;36478.614;48.0;10;466680;410130;421859;443232;443614;433748
SPTN1_HUMAN;;Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3;2472;284364.21;47.98;87;2758874;2716723;2829591;2624256;2662733;2707080
VINC_HUMAN;;Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4;1134;123721.812;47.97;44;2068231;2471436;2419440;2075101;2195233;2403416
C8ZD46_YEAS8;;Rpl10p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L10_1519g PE=4 SV=1;221;25345.382;47.96;10;958771;1010584;1018194;437532;426021;421223
SKP_ECOLI;;Chaperone protein Skp OS=Escherichia coli (strain K12) OX=83333 GN=skp PE=1 SV=1;161;17677.282;47.83;7;139777;141296;141996;452186;491119;385422
C8ZBP1_YEAS8;;Rpl43ap OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1J19_0408g PE=3 SV=1;92;10084.342;47.83;4;505014;506639;488632;174293;181613;167014
C8Z7X9_YEAS8;;Dug1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1F14_1464g PE=4 SV=1;481;52837.878;47.82;16;628895;644930;659582;297427;328104;331387
FKBA_ECOLI;;FKBP-type peptidyl-prolyl cis-trans isomerase FkpA OS=Escherichia coli (strain K12) OX=83333 GN=fkpA PE=1 SV=1;270;28864.155;47.78;10;243535;280037;240948;798047;851490;854236
C8Z406_YEAS8;;Ipp1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_1409g PE=4 SV=1;287;32279.527;47.74;12;810400;855947;866207;391182;386634;408050
CSRP2_HUMAN;;Cysteine and glycine-rich protein 2 OS=Homo sapiens OX=9606 GN=CSRP2 PE=1 SV=3;193;20939.88;47.67;7;252258;301644;327524;263137;316471;312571
GBB2_HUMAN;;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens OX=9606 GN=GNB2 PE=1 SV=3;340;37307.059;47.65;9;376694;334673;326962;305076;352665;329996
SMD3_HUMAN;;Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1;126;13907.304;47.62;4;341658;350734;395796;532311;369485;377654
COMT_HUMAN;;Catechol O-methyltransferase OS=Homo sapiens OX=9606 GN=COMT PE=1 SV=2;271;30017.631;47.6;8;258400;256423;257561;225976;264429;236861
PRS10_HUMAN;;26S proteasome regulatory subunit 10B OS=Homo sapiens OX=9606 GN=PSMC6 PE=1 SV=1;389;44145.099;47.56;14;726129;777926;883735;714746;710553;740480
RNH2C_HUMAN;;Ribonuclease H2 subunit C OS=Homo sapiens OX=9606 GN=RNASEH2C PE=1 SV=1;164;17829.031;47.56;4;30374;20169;36514;10216;30415;14657
RINI_HUMAN;;Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2;461;49941.087;47.51;14;622523;611158;640795;646735;610568;585265
ADK_HUMAN;;Adenosine kinase OS=Homo sapiens OX=9606 GN=ADK PE=1 SV=2;362;40519.661;47.51;11;265299;335729;335695;260045;278935;303500
HS90A_HUMAN;;Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5;732;84606.681;47.4;32;3749676;3761580;3841293;3555487;3683778;3813864
ADHX_HUMAN;;Alcohol dehydrogenase class-3 OS=Homo sapiens OX=9606 GN=ADH5 PE=1 SV=4;374;39698.379;47.33;13;505849;534577;532499;542789;537707;506431
